1,GOOG,google,Google Inc.,2016/4/28,691.02,744.94
2,YHOO,yahoo,Yahoo Inc.,2016/4/28,36.59,36.32
3,FB,facebook,Facebook,2016/4/28,116.73,108.76
4,AAPL,apple,Apple Inc. Com,2016/4/28,94.83,108.82
5,MSFT,microsoft,Microsoft Corpora,2016/4/28,49.9,54.3
6,NVDA,nvidia,NVIDIA Corporation,2016/4/28,36.2,35.76
7,AMZN,amazon,Amazon.com,2016/4/28,602,594.86
8,TSLA,tesla,Tesla Motors,2016/4/28,247.71,245.28
9,SNE,sony,Sony Corporation,2016/4/28,24.26,26.97
10,BABA,alibaba,Alibaba Group Holding Limited,2016/4/28,76.4,77.42
