google, 2016-04-29, 2016-5-13,751.1244911,751.3064001,751.9709572,746.3529813,746.5513609,746.555271,741.8221259,748.5801833,748.6878649,748.7924882, 
sony, 2016-04-29, 2016-5-13,27.26615681,27.29928302,27.36772805,27.26065013,27.33395455,27.09472375,27.13993404,27.26566262,27.24454877,27.25126462, 
microsoft, 2016-04-29, 2016-5-13,54.35785048,54.28874787,54.28861221,54.32266054,53.77758111,53.94494476,53.17317581,53.81872375,53.79466572,53.77348068, 
apple, 2016-04-29, 2016-5-13,107.655323,107.0402957,106.5214269,106.496622,106.2812254,106.0261367,106.1581971,106.5155643,106.3739844,106.2496152, 
nvidia, 2016-04-29, 2016-5-13,36.69757573,36.71010337,36.64300357,36.51308301,36.52420968,36.51714424,36.49487024,36.60308603,36.60468332,36.57378254, 
yahoo, 2016-04-29, 2016-5-13,37.14756627,37.18019182,37.17924949,37.18683594,37.52266649,37.42275361,37.34515971,37.35373541,37.37112045,37.37055126, 
alibaba, 2016-04-29, 2016-5-13,80.27082128,80.14586714,80.27606882,80.532732,80.63447261,80.4313904,80.35135207,80.42081876,80.41849563,80.48671112, 
tesla, 2016-04-29, 2016-5-13,252.3344665,252.6057744,251.9641881,251.6722456,251.906695,252.0147958,252.9866331,252.5614364,252.5890105,252.5220733, 
facebook, 2016-04-29, 2016-5-13,111.7662643,111.7267703,112.087621,112.1116351,112.1211305,112.0947723,111.4227434,111.8081504,111.7958015,111.7931881, 
amazon, 2016-04-29, 2016-5-13,626.4566757,626.4291058,626.7160108,625.9423648,625.6581685,624.7961672,622.9555171,624.5480966,624.5479846,624.5591582, 
